Filename,Category
1a11b732727c49a49d680ebe621ecf63_Food Organics_179.jpg,Food Organics
bef62d9b1fbf47df9ebae166858a8cdc_Vegetation_422.jpg,Vegetation
aadc1f14521b4aa7982fbc6a748738f6_Glass_234.jpg,Glass
813207f883004ebfbed7808c24e932cb_Glass_181.jpg,Glass
2d8bd122cec44530a0f4daa326e978fe_Glass_306.jpg,Glass
Paper_71.jpg,Paper
e0a856a1122a49a997f88301a0f8bf51_Vegetation_333.jpg,Vegetation
5678f703576a4aaa80f19baaf182f299_Food Organics_341.jpg,Food Organics
16d1da2ce49a43a9898bd070800510e6_Textile Trash_64.jpg,Textile Trash
02380d3b298b4818859db502541ae564_Miscellaneous Trash_93.jpg,Miscellaneous Trash
d996c7d822ac49ccbe7c1ea05a0dbdf6_Food Organics_118.jpg,Food Organics
fde201e0faee4e1ca3ed9921a9c4ce7e_Miscellaneous Trash_41.jpg,Miscellaneous Trash
7b178d8c92fc44e7941eb5a18d0b8197_Cardboard_372.jpg,Cardboard
49bb83761a7442eea3263d6109a2190f_Vegetation_328.jpg,Vegetation
a38d24a0fb064911a6b893820f72a8c4_Cardboard_315.jpg,Cardboard
Metal_711.jpg,Metal
Paper_184.jpg,Paper
efcae2e4dcab4d1ca62de1368c3724c4_Glass_216.jpg,Glass
Metal_481.jpg,Metal
f249b36ec2aa474ead9c61522c7d2406_Vegetation_252.jpg,Vegetation
Metal_753.jpg,Metal
Metal_204.jpg,Metal
e5cd5de201a24360bff08d0a1fc9da56_Food Organics_330.jpg,Food Organics
bdd7a17be4e4492a8f89da4bf4636276_Food Organics_138.jpg,Food Organics
5ddf08e34b50486fb50360b97a1dcc83_Cardboard_46.jpg,Cardboard
701a45319c45477292a35fc1173f14cf_Food Organics_41.jpg,Food Organics
4d290c0db3ac468b9d96f7b593f01a28_Vegetation_356.jpg,Vegetation
8703ea41cbcb484181119b7629a5bc10_Cardboard_273.jpg,Cardboard
613248b572c74281af1842a78ea3a26e_Glass_302.jpg,Glass
40b4463b6c8a4c0a8ecc5ae149f0d80b_Cardboard_363.jpg,Cardboard
6583cb7bada142efb04f44cd705ad7e6_Food Organics_297.jpg,Food Organics
adbfc1c7bedb42f587704a80e2e7369e_Textile Trash_221.jpg,Textile Trash
41931d6675224a29af851a1d0b182b3a_Glass_20.jpg,Glass
Paper_19.jpg,Paper
Paper_224.jpg,Paper
864f7c5aad1b4f6eaf7c452f9cc49ea5_Vegetation_268.jpg,Vegetation
99d5c8323d0e4980b486d3e887859f0c_Food Organics_207.jpg,Food Organics
672031b353c44df2a4e0b19b8170ef60_Textile Trash_63.jpg,Textile Trash
1f50323ba6ef4c5891edb5c450acd740_Textile Trash_138.jpg,Textile Trash
Paper_91.jpg,Paper
0b16e9664771400f8932f9651a60c7bb_Miscellaneous Trash_372.jpg,Miscellaneous Trash
